file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0045_0276_2056951_to_2065020,མེ་བརྒྱབས་ཚར་དུས་ཡང་མེ་གསད་ཀར་ཐེག་བཞག ཡ། སོ་སོས་མེ་བརྒྱབ། ཡང་སོ་སོས་བསད་བྱས་ཨེ།  ,me brgyabs tshar dus yang me gsad kar theg bzhag_ya/_so sos me brgyab/_yang so sos bsad byas e/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0045_0276_2056951_to_2065020.wav,STT_MV,3,81,8.069,wav16k/STT_MV0045_0276_2056951_to_2065020.wav,མེ་བརྒྱབ་ཚར་དུས་ཡང་མེ་བསད་ག་ཐེད་ཤག ཡ། སོ་སོས་མེ་བརྒྱབ། ཡང་སོ་སོས་བསད་བྱས་ཨེ།
STT_MV0595_0279_2136353_to_2145288,ག་རེ། དྲི་བ་ག་རེ་སྐུལ་དགོས་རེད། རྐྱེན་གསུམ་དེ་དྲིས་ད། ཧེ་ཧེ་ག་རེ་རྐྱེན་གསུམ་དྲི་དགོས་རེད།  ,ga re/_dri ba ga re skul dgos red/_rkyen gsum de dris da/_he he ga re rkyen gsum dri dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0595_0279_2136353_to_2145288.wav,STT_MV,3,91,8.935,wav16k/STT_MV0595_0279_2136353_to_2145288.wav,ག་རེ། དྲི་བ་ག་རེ་བསྐུལ་དགོས་རེད། རྐྱེན་གསུམ་དེ་དྲིས་ད། ཧ་ཧ། ག་རེའི་རྐྱེན་གསུམ་དྲི་དགོས་རེད།
STT_CS-D-2013-M-D-B01-4-R-03_0044_352566_to_361155,པ་ལགས་དེ་ལས་ཀ་པ་ལགས་དེ་ལས་ཀ་དོན་རཱ་འོ་དེ་ཡིས་འགྲོ་རེད་ད་རཱ། ཕྱི་ལོགས་ལ། ཨ་ནས་ཨ་མ་མ་ཚབ་དེ་ལ་སྔོན་ལ་ཁོ་རང་བུ་གུ་གཉིས་ཧམ་པ་ཚ་བོ་ཞིག་ཡོད་རེད་ད་རཱ།  ,pa lags de las ka pa lags de las ka don rA 'o de yis 'gro red da rA/_phyi logs la/_a nas a ma ma tshab de la sngon la kho rang bu gu gnyis ham pa tsha bo zhig yod red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B01-4-R-03_0044_352566_to_361155.wav,STT_CS,3,144,8.589,wav16k/STT_CS-D-2013-M-D-B01-4-R-03_0044_352566_to_361155.wav,པ་ལགས་དེ་ལས་ཀ པ་ལགས་དེ་ལས་ཀ་ཐོན་རཱ། ཨོ་དེ་འགྲོ་རེད་ད་རཱ་ཕྱི་ལོགས་ལ། ཨ་ནས་ཨ་མ་མ་ཚབ་དེ་ལ་སྔོན་ལས་ཁོ་རང་བུ་གུ་གཉིས་ཧམ་པ་ཚ་བོ་ཞིག་ཡོད་རེད་ད་རཱ།
STT_MV0045_0258_1953636_to_1961466,མིའི་བསམ་པར་ཁ་སྐྱེངས་བྱས་བསྡད་ཡོད་རེད་བསམ་གི་རེད། གནས་ཚུལ་འདི་འདྲས་ཐོན་ཙང་། འོ་ན་ངས་སྣང་མེད་གཏང་དགོས་རེད་པེ།  ,mi'i bsam par kha skyengs byas bsdad yod red bsam gi red/_gnas tshul 'di 'dras thon tsang /_'o na ngas snang med gtang dgos red pe/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0045_0258_1953636_to_1961466.wav,STT_MV,3,110,7.83,wav16k/STT_MV0045_0258_1953636_to_1961466.wav,མིའི་བསམ་པར་ཁ་སྐྱེངས་བྱས་བསྡད་ཡོད་རེད་བསམ་གི་རེད། གནས་ཚུལ་དེ་འདྲས་ཐོན་ཙང་། འོ་ན་ངས་སྣང་མེད་གཏང་དགོས་རེད་པེ།
STT_MV0128_0141_1199315_to_1208233,ལིང་དམེད་འུར་རང་ག་རེ་བྱེད་ག་ག་རེ་བྱེད་ག། འདུག་སེ་སྐམ་པ་མནན་བཞག་ན་ད་ག་མ་རེད་པེ། ལྕམ་ལིང་ལགས། མེ་མདའ་མ་བཀྱོན་ཨ་ལྕམ་ལིང་ལགས། མདའ་དཔོན་ལགས། ང་ཡིན།  ,ling dmed 'ur rang ga re byed ga ga re byed ga/_'dug se skam pa mnan bzhag na da ga ma red pe/_lcam ling lags/_me mda' ma bkyon a lcam ling lags/_mda' dpon lags/_nga yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0128_0141_1199315_to_1208233.wav,STT_MV,3,144,8.918,wav16k/STT_MV0128_0141_1199315_to_1208233.wav,ལིང་ནང་པ། རང་ག་རེ་བྱེད་ཀག་རེ་བྱེད་ཀ འདུག་སེ་རྐམ་པ་མནེན་བཞག་ན། ད་ག་མ་རེད་པེ། ལྕམ་ལིས་ལགས། མེ་མདའ་མ་རྐྱུན་ལགས། ལྕམ་ལིས་ལགས། མདའ་དཔོན་ལགས། ང་ཡིན།
STT_MV0128_0142_1208233_to_1216250,སྤྱང་ཀིའི་ཅང་ཤོག་གི་ཕྱག་རོགས་ང་ཡིན། མདའ་དཔོན་ལགས། དངོས་གནས་ང་ཡིན།  ,spyang ki'i cang shog gi phyag rogs nga yin/_mda' dpon lags/_dngos gnas nga yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0128_0142_1208233_to_1216250.wav,STT_MV,3,67,8.017,wav16k/STT_MV0128_0142_1208233_to_1216250.wav,སྤྱང་ཀིའི་དན་ཤོས་གི་ཞའོ་རན་ཡིན། མདའ་དཔོན་ལགས་དངོས་གནས་ང་ཡིན།
STT_MV0045_0273_2036167_to_2043850,གོང་མས་ཁྲལ་ཁང་གི་རྩིས་ཁྲ་ཞིབ་བཤེར་བྱེད་ཀི་ཡིན་གསུངས་ཤག བྱས་ཙང་སྐུ་ངོ་རྣམ་པ་ཞེད་ཐག་ཆོད་བྱས་གནས་ཚུལ་ངོ་མ་བཀབ་ཡ་གི་ཆེད་དུ།  ,gong mas khral khang gi rtsis khra zhib bsher byed ki yin gsungs shag_byas tsang sku ngo rnam pa zhed thag chod byas gnas tshul ngo ma bkab ya gi ched du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0045_0273_2036167_to_2043850.wav,STT_MV,3,121,7.683,wav16k/STT_MV0045_0273_2036167_to_2043850.wav,གོང་མས་ཁྲལ་ཁང་གི་རྩིས་ཁྲ་ཞིབ་བཤེར་བྱེད་ཀི་ཡིན་གསུངས་ཤག བྱས་ཙང་སྐུ་ངོ་རྣམ་པ་ཞེད་ཐག་ཆོད་བྱས་གནས་ཚུལ་ངོ་མ་བཀབ་ཡ་གི་ཆེད་དུ་
STT_MV0045_0292_2170671_to_2180424,གསོལ་སྟོན་ལ་བློ་བདེ་བག་ཕེབས་ངང་ཕེབས་བྱས་སྐུ་ངོ་ཆེན་མོ་དང་ཨེམ་ཆི་ཁོ་ཐུག་དགོས་རེད། བརྒྱ་བཤད་སྟོང་བཤད་ནས་དེ་རིང་གི་གནད་འགག་འདི་ནས་གྲོལ་ཐུབ་པ་གནང་།  ,gsol ston la blo bde bag phebs ngang phebs byas sku ngo chen mo dang em chi kho thug dgos red/_brgya bshad stong bshad nas de ring gi gnad 'gag 'di nas grol thub pa gnang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0045_0292_2170671_to_2180424.wav,STT_MV,3,145,9.753,wav16k/STT_MV0045_0292_2170671_to_2180424.wav,གསོལ་སྟོན་ལ་བློ་བདེ་བག་ཕེབས་ངང་ཕེབས་བྱས་སྐུ་ངོ་ཆེན་མོ་དང་ཨེམ་ཆི་ཁོ་ཐུག་དགོས་རེད། བརྒྱ་བཤད་སྟོང་བཤད་ནས་དེ་རིང་གི་གནད་འགག་འདི་ནས་གྲོལ་ཐུབ་པ་གནང་།
STT_MV0045_0294_2184918_to_2191733,ཨ་ཧ། ཉིན་ལྟར་གྲོང་གསེབ་པའི་ཨེམ་ཆི་གཅིག་དང་གཤིབ་དགོས་བྱུང་ན།  ,a ha/_nyin ltar grong gseb pa'i em chi gcig dang gshib dgos byung na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0045_0294_2184918_to_2191733.wav,STT_MV,3,61,6.815,wav16k/STT_MV0045_0294_2184918_to_2191733.wav,ཉིན་ལྟར་གྲོང་གསེབ་པའི་ཨེམ་ཆི་འདི་དང་ཤི་དགོས་བྱུང་ན་
STT_CS-D-2013-M-D-B01-4-R-03_0040_321597_to_323733,པུ་གུ་གཉིས་སྐྱེས་ཡོད་རེད་ད་རཱ། ཨ་ནས་བུ་མོ་དེ་ཀ་ཅི།  ,pu gu gnyis skyes yod red da rA/_a nas bu mo de ka ci/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B01-4-R-03_0040_321597_to_323733.wav,STT_CS,3,52,2.136,wav16k/STT_CS-D-2013-M-D-B01-4-R-03_0040_321597_to_323733.wav,པུ་གུ་གཉིས་སྐྱེས་ད་རེད་ད་རཱ། ཨ་ནས་བུ་མོ་དེ་ཀ་ཅི།
